actuary_45_econ_1	재화 $X, Y$에 대한 소비자 갑의 예산제약선이 $P_X X + P_Y Y = M$이다. 정부가 소득에 대해 정액세(lump-sum tax) $u$를, $X$에 대해 단위당 종량세(quantity tax) $t$를 부과하고, $Y$에 대해 단위당 보조금(subsidy) $s$를 지급할 때, 새로운 예산제약선으로 옳은 것은? (단, $P_X, P_Y$는 재화 $X, Y$의 가격이며 $M$은 소비자 갑의 소득이다.)	$(P_X - t)X + (P_Y + s)Y = M - u$ ||| $(P_X - t)X + (P_Y + s)Y = M + u$ ||| $(P_X + t)X + (P_Y - s)Y = M - u$ ||| $(P_X + t)X + (P_Y - s)Y = M + u$
actuary_45_econ_12	갑은 을에게 내기를 제안하였다. 내기에서 을이 이길 확률은 2/3이며 이때 갑으로부터 13을 받는다. 내기에서 을이 질 확률은 1/3이며 이때 갑에게 11을 주어야 한다. 을의 효용함수 $U_\text{을} = \sqrt{M_\text{을}}$이고, 을의 현재 보유 금액은 36이다. 이에 관한 설명으로 옳지 않은 것은? (단, 을은 기대효용을 극대화하며, $M_\text{을}$은 을의 보유 금액이다.)	을은 위험을 회피(risk-averse)하는 태도를 가지고 있다. ||| 내기에 대한 을의 기대효용은 19/3이다. ||| 을이 내기를 거절할 때 효용은 7이다. ||| 을은 내기를 수락한다.
actuary_45_econ_13	완전경쟁시장에서 기업 A의 한계비용 $MC = 2Q$, 평균가변비용 $AVC = Q$이다. 시장가격이 12일 때 기업 A의 이윤이 0이 되는 고정비용은? (단, $Q$는 양의 생산량이다.)	6 ||| 12 ||| 24 ||| 36
actuary_45_econ_14	3명의 친구 갑, 을, 병은 유럽으로 여름휴가를 가려고 한다. 이들의 선호가 아래 표와 같을 때, 이에 대한 설명으로 옳지 않은 것은?\n\n|  | 갑 | 을 | 병 |\n|---|---|---|---|\n| 제1선택 | 영국 | 프랑스 | 독일 |\n| 제2선택 | 프랑스 | 독일 | 영국 |\n| 제3선택 | 독일 | 영국 | 프랑스 |	영국과 프랑스에 대해 투표하고, 여기서 선택된 대안을 독일과 투표하면 독일이 다수결로 결정된다. ||| 독일과 프랑스에 대해 투표하고, 여기서 선택된 대안을 영국과 투표하면 영국이 다수결로 결정된다. ||| 독일과 영국에 대해 투표하고, 여기서 선택된 대안을 프랑스와 투표하면 프랑스가 다수결로 결정된다. ||| 콩도르세의 역설(Condorcet Paradox)이 나타나지 않는다.
actuary_45_econ_15	버트란드(Bertrand) 복점 기업 A, B가 직면한 시장수요곡선은 $P = 56 - 2Q$이다. 두 기업의 한계비용이 각각 20일 때, 균형가격과 기업 A의 생산량은?	균형가격 20 / 기업 A의 생산량 9 ||| 균형가격 20 / 기업 A의 생산량 12 ||| 균형가격 32 / 기업 A의 생산량 9 ||| 균형가격 32 / 기업 A의 생산량 12
actuary_45_econ_16	$X$재 시장의 수요함수와 공급함수는 각각 $Q^D = 100 - 3P$, $Q^S = 2P$이다. 정부가 수요자에게 개당 10의 세금을 부과하는 경우와 공급자에게 개당 10의 세금을 부과하는 경우, 이에 대한 설명으로 옳지 않은 것은? (단, $Q^D$는 수요량, $Q^S$는 공급량, $P$는 가격이다.)	과세로 인해 균형거래량이 감소한다. ||| 과세로 인한 수요자의 조세 부담이 공급자의 조세 부담보다 크다. ||| 수요자에게 개당 10의 세금을 부과하는 경우 수요자가 내는 가격은 상승하고, 공급자가 받는 가격은 하락한다. ||| 공급자에게 개당 10의 세금을 부과하는 경우 수요자가 내는 가격은 상승하고, 공급자가 받는 가격은 하락한다.
actuary_45_econ_17	아래 표는 통신 시장을 양분하고 있는 기업 A와 기업 B의 보수 행렬이다. 기업 A와 기업 B가 전략을 동시에 선택하는 일회성 비협조 게임에 관한 설명으로 옳지 않은 것은? (단, 괄호 속의 왼쪽은 기업 A의 보수, 오른쪽은 기업 B의 보수이다.)\n\n|  | 기업 B 저가요금제 | 기업 B 고가요금제 |\n|---|---|---|\n| 기업 A 저가요금제 | $(4, 4)$ | $(2, 5)$ |\n| 기업 A 고가요금제 | $(5, 2)$ | $(\alpha, \alpha)$ |	$0 < \alpha < 2$일 때, 기업 A에게 우월전략이 존재하지 않는다. ||| $0 < \alpha < 2$일 때, 내쉬균형(Nash equilibrium)이 2개 존재한다. ||| $2 < \alpha < 4$일 때, 기업 B에게 우월전략이 존재한다. ||| $2 < \alpha < 4$일 때, 내쉬균형이 파레토 효율적이다.
actuary_45_econ_18	(  )안에 들어갈 내용으로 옳은 것은?\n\n납세자의 소득에 따른 세율은 비례세(proportional tax)의 경우 한계세율과 평균세율이 동일하다. 그러나 누진세(progressive tax)는 ( 가 )세율이 ( 나 )세율보다 높고, 역진세(regressive tax)는 ( 다 )세율이 ( 라 )세율보다 높다.	가: 한계 / 나: 평균 / 다: 한계 / 라: 평균 ||| 가: 한계 / 나: 평균 / 다: 평균 / 라: 한계 ||| 가: 평균 / 나: 한계 / 다: 한계 / 라: 평균 ||| 가: 평균 / 나: 한계 / 다: 평균 / 라: 한계
actuary_45_econ_19	롤즈(J. Rawls)의 사회후생함수에 관한 설명으로 옳은 것을 모두 고르면?\n\nㄱ. 사회후생함수는 개인의 분배와 상관없다.\nㄴ. 사회후생함수는 개인 효용의 합에 의해 결정된다.\nㄷ. 사회후생함수는 레온티에프 함수와 같은 형태이다.\nㄹ. 평등주의적 가치관을 담고 있다.	ㄱ, ㄴ ||| ㄴ, ㄷ ||| ㄷ, ㄹ ||| ㄱ, ㄹ
actuary_45_econ_20	노동수요독점 기업이 직면하는 노동공급은 $L = 20W$이고, 노동의 한계수입생산물 함수는 $L = 400 - 10 MRP_L$이다. 최저임금이 15일 때 고용량은? (단, $L$은 노동, $W$는 임금, $MRP_L$은 노동의 한계수입생산물이다.)	200 ||| 250 ||| 800/3 ||| 300
actuary_45_econ_21	통화량($M$)이 현금통화($C$)와 예금통화($D$)의 합계로 정의되고, 본원통화($H$)는 현금통화와 은행의 지급준비금($R$)으로 구성된다. 또한 민간의 현금-통화비율($c = \dfrac{C}{M}$)이 0.2이고, 총지급준비율($z = \dfrac{R}{D}$)이 0.25이다. 중앙은행이 10조 원의 본원통화를 증가시킬 때, 통화량의 증가는?	15조 원 ||| 20조 원 ||| 25조 원 ||| 30조 원
actuary_45_econ_22	우리나라 국채의 명목이자율이 3%이고, 미국 국채의 명목이자율이 2%일 때, 투자자 갑은 미국 국채에 투자하기로 결정하였다. 두 국채 모두 신용위험이 없다면 환율(원화/달러화)에 대한 투자자 갑의 예상으로 옳은 것은?	1% 이상 평가절상 ||| 1% 이상 평가절하 ||| 0.5% 이상 1% 미만 평가절상 ||| 0.5% 이상 1% 미만 평가절하
actuary_45_econ_23	IS곡선과 LM곡선이 아래와 같을 때 AD곡선으로 옳은 것은?\n\nIS 곡선: $0.4Y + 20r = 600$\nLM곡선: $600 + 0.2Y - 50r = \dfrac{300}{P}$\n\n(단, $Y$는 소득, $r$은 이자율, $P$는 물가이다.)	$1.2Y = 900 + \dfrac{300}{P}$ ||| $1.2Y = 900 + \dfrac{200}{P}$ ||| $Y = 600 + \dfrac{300}{P}$ ||| $Y = 600 - \dfrac{300}{P}$
actuary_45_econ_24	잔여 생애가 50년인 노동자 A는 앞으로 은퇴까지 30년간 매년 4,000만 원의 소득을 얻을 것으로 예상한다. 현재 A가 보유하고 있는 자산은 없으며 2억 원의 부채를 지고 있다. 생애주기가설을 따를 때 A의 잔여 생애 동안의 연간 소비액은? (단, 이자율은 항상 0이고, A가 사망하는 시점에서 순자산은 0이다.)	1,500만 원 ||| 2,000만 원 ||| 2,500만 원 ||| 3,000만 원
actuary_45_econ_25	아래는 개인 갑과 을로만 구성된 경제의 화폐수요이다. 이 경제 전체의 마샬 k(Marshallian k)는?\n\n- 갑의 마샬 k : 0.3\n- 을의 마샬 k : 0.4\n- 갑의 소득 : 120\n- 을의 소득 : 80	0.3 ||| 0.34 ||| 0.35 ||| 0.43
actuary_45_econ_26	아래 표는 A국의 고용통계이다. 생산가능인구의 크기에 변화가 없을 때, A국 노동시장 변화에 관한 설명으로 옳은 것은?\n\n(단위 : 만 명)\n\n| 구분 | 2021년 | 2022년 |\n|---|---|---|\n| 취업자 수 | 850 | 800 |\n| 비경제활동인구 수 | 300 | 350 |	경제활동 참가율은 상승하였다. ||| 실업자 수는 증가하였다. ||| 고용률은 변화가 없다. ||| 실업률은 상승하였다.
actuary_45_econ_27	폐쇄경제인 A국의 거시 경제 상황이 아래와 같을 때, 민간저축과 GDP의 크기를 옳게 짝지은 것은?\n\n- 조세 = 10,000\n- 민간투자 = 15,000\n- 민간소비 = 80,000\n- 재정수지 = 2,000	민간저축 4,000 / GDP 94,000 ||| 민간저축 8,000 / GDP 98,000 ||| 민간저축 9,000 / GDP 99,000 ||| 민간저축 13,000 / GDP 103,000
actuary_45_econ_28	아래 표와 같이 환율 변동이 발생했다면, 이에 따른 효과에 관한 설명으로 <보기>에서 옳은 것을 모두 고르면? (단, 계약은 현지 화폐로 이루어진다.)\n\n| 구분 | 원/달러 | 엔/달러 |\n|---|---|---|\n| 과거 | 1,050 | 100 |\n| 현재 | 1,100 | 110 |\n\n<보기>\nㄱ. 달러 표시 외채를 가진 한국 기업의 상환 부담이 감소하였다.\nㄴ. 부품을 한국에서 수입하는 일본 기업의 생산비가 상승하였다.\nㄷ. 한국에 수출하는 미국 제품의 가격 경쟁력이 하락하였다.\nㄹ. 미국에 수출하는 일본 제품의 달러 표시 가격이 상승하였다.	ㄱ, ㄹ ||| ㄴ, ㄷ ||| ㄴ, ㄹ ||| ㄷ, ㄹ
actuary_45_econ_29	이자소득세율이 25%, 명목이자율이 4%이다. 예상 물가상승률이 3%에서 6%로 상승하였을 때, 세후 실질이자율이 이전과 같은 수준이 되기 위해서 필요한 명목이자율 수준은?	5% ||| 6% ||| 7% ||| 8%
actuary_45_econ_30	A국과 B국에서 X재, Y재 각 1단위를 생산하는데 필요한 노동 투입 시간은 아래와 같다.\n\n| 구분 | X재 | Y재 |\n|---|---|---|\n| A국 | 100시간 | 50시간 |\n| B국 | 20시간 | 40시간 |\n\n양국은 노동만을 투입하여 생산하며, 가용 노동시간은 1,000시간으로 동일하다. 무역은 양국 사이에서만 자유롭게 이루어지며 거래 비용은 없다. X재와 Y재의 1:1의 교역조건으로, 비교우위론에 따른 자유무역 후 B국이 소비하는 X재와 Y재의 조합으로 옳은 것은?	X재 10 / Y재 10 ||| X재 10 / Y재 40 ||| X재 40 / Y재 10 ||| X재 40 / Y재 40
actuary_45_econ_31	만기가 1년이고, 이자는 만기에 한 번 8만 원을 지급하는 액면가 100만 원인 이표채권이 있다. 현재 이표채권의 가격이 90만 원이라고 할 때, 이에 관한 설명으로 옳지 않은 것은?	만기수익률은 20%이다. ||| 표면이자율(coupon rate)은 경상수익률(current yield)보다 더 높다. ||| 경상수익률은 약 8.9%이다. ||| 만기수익률과 채권의 가격은 역(-)의 관계에 있다.
actuary_45_econ_32	두 재화 $X$와 $Y$만 생산하고 소비하는 A국 경제의 생산량과 가격이 아래와 같다. 2022년을 기준연도로 하여 2021년 실질 GDP는?\n\n|  |  | 2020년 | 2021년 | 2022년 |\n|---|---|---|---|---|\n| 재화 X | 수량 | 100 | 105 | 110 |\n| 재화 X | 가격 | 10 | 12 | 12 |\n| 재화 Y | 수량 | 100 | 110 | 105 |\n| 재화 Y | 가격 | 10 | 11 | 14 |	2,150 ||| 2,600 ||| 2,800 ||| 2,790
actuary_45_econ_33	솔로우 경제성장모형에서 생산함수가 $Q = L^{0.5} K^{0.5}$이고 연간 감가상각률은 10%, 저축률은 10%일 때 균제상태(steady state)에서 노동자 1인당 산출량, 자본, 소비에 관한 설명으로 옳은 것을 모두 고르면? (단, $Q$는 산출량, $L$은 노동자 수, $K$는 자본이다.)\n\nㄱ. 노동자 1인당 소비는 0.9이다\nㄴ. 노동자 1인당 산출량과 자본은 1이다\nㄷ. 저축률이 20%로 상승할 때, 노동자 1인당 소비는 1.8이다.\nㄹ. 저축률이 20%로 상승할 때, 노동자 1인당 산출량과 자본은 2배로 증가한다.	ㄱ, ㄴ ||| ㄴ, ㄷ ||| ㄴ, ㄹ ||| ㄷ, ㄹ
actuary_45_econ_34	케인즈가 제시한 소비함수에 관한 설명으로 옳지 않은 것은?	한계소비성향은 0과 1 사이의 값을 갖는다. ||| 소득이 증가함에 따라 평균소비성향은 감소한다. ||| 소비는 현재의 소득에 의존한다. ||| 소비는 소비자가 생애 동안 기대하는 총소득에 의존한다.
actuary_45_econ_35	통화공급 감소 요인으로 옳은 것은?	본원통화량 증가 ||| 재할인율 인하 ||| 현금-예금 비율의 하락 ||| 은행의 초과지급준비금의 증가
actuary_45_econ_36	단기 및 장기 필립스곡선의 이동을 초래하는 요인으로 옳지 않은 것은?	자연 실업률의 상승 ||| 수입 원유가격의 하락 ||| 정부 지출의 증가 ||| 예상 인플레이션의 하락
actuary_45_econ_37	화폐수량설에 의하면, 물가상승률이 통화량 증가율보다 낮을 때 이에 관한 이유로 옳은 것은?	산출량 증가 또는 화폐유통속도 증가 ||| 산출량 증가 또는 화폐유통속도 감소 ||| 산출량 감소 또는 화폐유통속도 증가 ||| 산출량 감소 또는 화폐유통속도 감소
actuary_45_econ_38	단기 총공급곡선이 우상향하는 이유를 설명하는 이론으로 옳지 않은 것은?	상대가격 착각이론 ||| 화폐의 중립성 이론 ||| 임금의 경직성 이론 ||| 가격의 경직성 이론
actuary_45_econ_39	중앙은행이 물가상승률을 2% 포인트 낮출 때 실업률이 4%에서 5%로 상승하였다. 자연실업률은 4%, 잠재성장률은 2%이다. 아래와 같은 오쿤(Okun)의 법칙을 이용하여 성장률의 관점에서 희생률(sacrifice ratio)을 구하면?\n\n$u = u^* - 0.5(y - y^*)$\n\n(단, $u$는 실업률, $u^*$는 자연실업률, $y$는 성장률, $y^*$는 잠재성장률이다.)	0 ||| 1 ||| 2 ||| 3
actuary_45_econ_40	1년 만기 채권의 수익률이 8%이고 향후 1년간 예상되는 물가상승률은 3%이다. 동일한 금액의 채권과 화폐를 1년간 보유할 때, 채권 실질수익률과 화폐 실질수익률의 차이는?	0% ||| 3% ||| 5% ||| 8%
