cpa_2024_econ_1	여러 제품을 생산하는 기업이 각 제품을 따로 생산할 때보다 함께 생산할 때 생산비용이 절감되는 경우, 이러한 현상을 지칭하는 개념은?
cpa_2024_econ_17	소득 200으로 두 재화 X와 Y를 소비하는 소비자의 효용함수는 $U(x,y) = \sqrt{x} + \frac{1}{2}y$이다. X재의 가격은 10, Y재의 가격은 20이다. X재의 가격만 5로 하락했을 때, 동등변화(equivalent variation)의 크기는? (단, $x$와 $y$는 각각 소비자의 X재와 Y재 소비량이다.)
cpa_2024_econ_18	자국과 외국 간 상대적 구매력평가설과 유위험 이자율평가설이 모두 성립한다고 하자. 예상인플레이션율과 명목이자율이 다음과 같고 현재환율이 100일 때, 외국 명목이자율과 예상되는 1년 후 환율은? (단, 환율은 외국화폐 1단위에 대한 자국화폐의 교환비율이다.)\n\n자국 예상인플레이션율 = 4%\n외국 예상인플레이션율 = 3%\n자국 명목이자율 = 5%
cpa_2024_econ_19	2국가(A국, B국) 2재화(X재, Y재) 리카도(Ricardo) 모형을 가정하자. 다음 표는 A국과 B국의 재화별 단위당 노동투입량과 총노동부존량이다.\n\n| 구분 | A국 | B국 |\n|---|---|---|\n| 단위당 노동투입량 X재 | $\frac{1}{4}$시간 | 1시간 |\n| 단위당 노동투입량 Y재 | $\frac{1}{2}$시간 | 1시간 |\n| 총노동부존량 | 25시간 | 50시간 |
cpa_2024_econ_20	2국가(A국, B국) 2재화(X재, Y재) 헥셔-올린(Heckscher-Ohlin) 모형을 가정하자. 생산요소는 노동과 자본만을 고려하고, 국가 간 생산요소 부존 비율과 각 재화의 생산요소 투입 비율에 대한 정보는 다음과 같다.\n\n$\frac{A국의 노동보유량}{A국의 자본보유량} > \frac{B국의 노동보유량}{B국의 자본보유량}$\n\n$\frac{X재 단위당 노동투입량}{X재 단위당 자본투입량} < \frac{Y재 단위당 노동투입량}{Y재 단위당 자본투입량}$\n\n다음 설명 중 옳은 것을 모두 고르면?\n\n가. 무역 이전, $\frac{단위당 노동사용보수}{단위당 자본사용보수}$는 B국이 A국보다 낮다.\n나. 무역 이후, $\frac{X재 가격}{Y재 가격}$은 A국의 무역 이전 수준보다 낮아진다.\n다. 무역 이후, $\frac{X재 가격}{Y재 가격}$은 B국의 무역 이전 수준보다 낮아진다.
cpa_2024_econ_21	__FIGURE__
cpa_2024_econ_22	자국의 화폐시장과 외환시장의 균형은 다음과 같이 이루어진다.\n\n[화폐시장]\n· 실질화폐수요: $L(i)$\n· 실질화폐공급: $\frac{\bar{M^s}}{\bar{P}}$\n· 화폐시장균형: $L(i) = \frac{\bar{M^s}}{\bar{P}}$\n\n[외환시장]\n· 자국이자율: $i$\n· 자국화폐표시 외국기대수익률: $i^* + \frac{E^e - E}{E}$\n· 이자율평가설: $i - i^* = \frac{E^e - E}{E}$\n\n$i, \bar{M^s}, \bar{P}, E^e, E$는 각각 명목이자율, 명목화폐공급, 물가수준, 예상 미래환율, 현재환율을 나타내며, 외국 변수는 별($*$) 표시로 자국 변수와 구분한다. 실질화폐수요는 이자율의 감소함수이다. 화폐시장과 외환시장이 동시에 균형을 이룰 때 균형환율이 결정되고, 현재 균형환율은 $E_0$이다. 이제 통화당국이 국내 명목화폐공급량을 한 차례 증가시키고 그 수준을 유지한다고 하자. 환율이 단기와 장기에 다음과 같은 전제하에 결정될 경우, 현재 균형환율($E_0$), 단기 균형환율($E_1$), 장기 균형환율($E_2$)의 크기를 옳게 비교한 것은? (단, 환율은 외국화폐 1단위에 대한 자국화폐의 교환비율이다.)\n\n[단기 균형환율($E_1$)]\n· 물가는 경직적이다.\n· 이자율평가설이 성립한다.\n· $E^e$는 $E_2$로 즉시 조정된다.\n\n[장기 균형환율($E_2$)]\n· 물가는 신축적이다.\n· 화폐수량설이 성립한다.\n· 구매력평가설이 성립한다.
cpa_2024_econ_23	한국의 A사는 중국 현지 공장에서 2023년 생산한 철강재를 같은 해 미국에 있는 B사에 전량 판매하였다. B사는 2024년 미국에서 해당 철강을 이용하여 자동차를 생산하였고, 이 자동차는 같은 해에 한국으로 수출되어 소비자에게 판매되었다. 이 거래들로 발생한 3국의 국민소득과 관련된 변화에 대한 설명으로 옳은 것은?
cpa_2024_econ_24	갑국은 A, B, C 세 가지 품목으로만 소비자물가지수를 구성하고 있으며, 각각의 가중치는 0.5, 0.3, 0.2이다. 2022년, 2023년도 갑국의 품목별 물가지수가 다음 표와 같을 때, 2022년 대비 2023년 갑국의 인플레이션율은? (단, 소수점 둘째 자리에서 반올림한다.)\n\n| 연도 | A | B | C |\n|---|---|---|---|\n| 2022년 | 110 | 108 | 110 |\n| 2023년 | 112.2 | 113.4 | 121 |
cpa_2024_econ_25	과거 10년 동안 갑국의 명목GDP의 연평균 증가율은 5%, 실질GDP의 연평균 증가율은 2%였다. 화폐유통속도가 일정했다면 연평균 물가상승률과 통화증가율은?
cpa_2024_econ_26	다음은 어느 개방경제의 국민계정 항등식에 관한 자료이다.\n\n· 소비와 정부지출은 각각 총생산의 35%를 차지한다.\n· 민간저축과 투자는 각각 총생산의 20%를 차지한다.\n\n조세수입이 총생산에서 차지하는 비율은?
cpa_2024_econ_27	다음과 같은 케인즈(Keynes)의 균형국민소득 결정모형에 따라 거시균형이 결정되는 경제를 상정하자.\n\n$C = \bar{C} + 0.5(Y - T)$\n$I = 0.25Y$\n$G = \bar{G}$\n$T = \bar{T}$\n$Y = C + I + G$\n\n정부지출을 1조원 증가시키는 정책(I)과 조세를 1조원 감면시키는 정책(II) 각각의 총소득 증가효과는? (단, $C, Y, T, I, G$는 각각 소비, 국민소득, 조세, 투자, 정부지출이며, $\bar{C}, \bar{G}, \bar{T}$는 양의 상수이다.)
cpa_2024_econ_28	소비선택과 관련된 다음 설명 중 옳은 것을 모두 고르면?\n\n가. 항상소득가설에 따르면, 복권에 당첨되었을 경우 그 해의 평균소비성향은 증가한다.\n나. 항상소득가설에 따르면, 소득세율이 내년부터 영구적으로 인상될 것으로 확정되었을 경우 올해 소비는 감소한다.\n다. 생애주기가설에 따르면, 은퇴시점은 변화가 없고 기대수명이 증가한다면 은퇴 이전 근로자의 평균소비성향은 증가한다.
cpa_2024_econ_29	어느 폐쇄경제에서 소비와 투자가 이자율에 전혀 의존하지 않고 정부지출이 외생적으로 결정된다면, 다음 중 옳은 것은?
cpa_2024_econ_30	A국은 코로나 위기 이후 회복되는 과정에서 높은 인플레이션을 경험하고 있다. A국의 중앙은행이 인플레이션율을 낮추기 위해 시행가능한 통화정책으로 옳은 것을 모두 고르면? (단, 중앙은행은 현재 민간은행의 지급준비금에 대하여 이자를 지급하고 있다.)\n\n가. 채권시장에서 공개시장매입을 한다.\n나. 지급준비율을 인상한다.\n다. 재할인대출을 축소한다.\n라. 지급준비금에 지급하는 이자율을 낮춘다.
cpa_2024_econ_31	__FIGURE__
cpa_2024_econ_32	장기균형에 있던 경제에서 외생적인 유가 상승이 발생하였을 때, 중앙은행이 물가 안정을 추구하는 경우(I)와 총생산 안정을 추구하는 경우(II)에 각각 선택할 정책금리 결정으로 옳은 것은? (단, 총수요곡선은 우하향하고 총공급곡선은 우상향한다.)
cpa_2024_econ_33	갑국의 현재 실업률은 4%이다. 갑국의 자연실업률은 4%인데 정책당국은 5%로 잘못 파악하고 있다. 이와 같은 상황에서, 총수요-총공급 모형을 바탕으로 갑국의 정부가 시행할 수 있는 경기안정화 정책과 그 결과로 옳은 것은? (단, 총수요곡선은 우하향하고 총공급곡선은 우상향하며, 오쿤의 법칙(Okun's law)이 성립한다.)
cpa_2024_econ_34	갑국의 야구 선수 A는 1993년에 계약금 5천만원을 받았고, 그의 아들인 B는 을국에서 야구 선수가 되어 2024년에 계약금으로 50만달러를 받게 되었다. 다음은 갑국과 을국의 소비자물가지수와 환율이다.\n\n| 구분 | 1993년 | 2024년 |\n|---|---|---|\n| 소비자물가지수 갑국 | 40 | 120 |\n| 소비자물가지수 을국 | 50 | 125 |\n| 환율(원/달러) | 800 | 1,350 |\n\n이와 관련된 설명 중 옳은 것을 모두 고르면? (단, 갑국의 화폐는 원화, 을국의 화폐는 달러이며, 양국의 모든 물가지수에 대한 기준연도는 동일하다.)\n\n가. 2024년 환율을 이용해 B의 계약금을 갑국에서의 구매력으로 평가하면 B의 계약금은 A의 계약금의 6배이다.\n나. 1993년 환율을 이용해 A의 계약금을 을국에서의 구매력으로 평가하면 B의 계약금은 A의 계약금의 3.2배이다.\n다. 2024년 환율을 이용해 B의 계약금을 1993년 기준 원화가치로 환산하면 2억 4천만원이다.
cpa_2024_econ_35	다음과 같은 IS-LM곡선으로 표현되는 폐쇄경제모형이 있다고 하자.\n\nIS:\n$C = 200 + \frac{2}{3}(Y - T),\ I = 1,000 - 50r,\ G = 1,200$\n$Y = C + I + G$\n\nLM:\n$Y = 2\frac{M}{P} + 100r$\n\n$C, Y, T, I, G, r, M, P$는 각각 소비, 총생산, 조세, 투자, 정부지출, 이자율, 통화량, 물가수준이다. $P = 1, M = 1,200$인 경우 정부가 $Y = 4,000$을 달성하고자 $r$을 설정할 때, 국민저축은? (단, 이자율의 단위는 %로, 이자율이 10%라면 $r = 10$이다.)
