actuary_42_econ_11	X재의 가격은 $P$, 수요곡선은 $Q_d = 1{,}000 - P$, 공급곡선은 $Q_s = P$이다. 소비자에게 개당 100의 세금을 부과했다. 세금으로 인한 경제적 순손실(deadweight loss)은?	2,000 ||| 2,500 ||| 3,000 ||| 3,500
actuary_42_econ_12	상품시장과 노동시장이 완전경쟁시장인 경우 이윤극대화를 추구하는 기업의 노동수요와 임금에 관한 설명으로 옳지 않은 것은?	노동의 한계생산가치곡선이 노동수요를 결정한다. ||| 노동의 한계수입생산곡선이 노동수요를 결정한다. ||| 노동의 한계생산체감의 법칙이 성립하면, 노동수요 곡선은 우하향 한다. ||| 이윤극대화의 최적 고용량 수준에서 임금은 노동의 한계생산가치보다 높게 결정된다.
actuary_42_econ_13	조세부과와 공공요금 책정의 원칙에 관한 설명으로 옳지 않은 것은?	수직적 평등의 원칙에 따르면 소득이 많을수록 더 많은 세금을 부담한다. ||| 수평적 평등의 원칙에 따르면 동일한 소득이라도 소득의 종류에 따라 세금이 달라진다. ||| 수익자 부담의 원칙에 따르면 정부정책의 편익을 많이 받을수록 더 많은 세금을 부담해야 한다. ||| 수익자 부담의 원칙에 따르면 지하철 운영에서 적자가 발생하면 지하철 요금을 인상해야 한다.
actuary_42_econ_14	A기업의 공급곡선은 $Q_s^A = P$이고 B기업의 공급곡선은 $Q_s^B = 2P$이다. 가격 $P$의 변화에 따른 공급의 가격탄력성에 관한 설명으로 옳지 않은 것은?	$P$가 상승하면 A기업의 공급의 가격탄력성은 상승한다. ||| $P = 100$에서 A기업의 공급의 가격탄력성은 1이다. ||| B기업의 공급의 가격탄력성은 공급량 수준과 관련 없이 항상 동일하다. ||| $P = 100$에서 A기업의 가격탄력성과 $P = 200$에서 B기업의 가격탄력성은 동일하다.
actuary_42_econ_15	A기업은 한 가지의 재화를 생산하여 두 개의 분리된 시장에 공급하는 독점기업이다. 첫 번째 시장의 수요곡선은 $Q_1 = -P_1 + 5$, 두 번째 시장의 수요곡선은 $Q_2 = -2P_2 + 10$, A기업의 비용함수는 $C = 1 + 2(Q_1 + Q_2)$이다. A기업의 이윤 극대화 결과에 관한 설명 중 옳지 않은 것은? (단, $P_1, Q_1$은 각각 첫 번째 시장의 가격과 공급량, $P_2, Q_2$는 각각 두 번째 시장의 가격과 공급량이다.)	기업의 한계비용은 2이다. ||| 첫 번째 시장에 공급하는 이윤극대화 생산량은 $\dfrac{3}{2}$이다. ||| 두 번째 시장에 공급하는 이윤극대화 생산량은 3이다. ||| 가격차별을 하지 않았을 때보다 가격차별을 하면 이윤은 더 커진다.
actuary_42_econ_16	비용함수가 $C = Q^2 + 10$일 때, 비용에 관한 설명 중 옳은 것을 모두 고르면? (단, $Q$는 생산량이다.)\n\n가. 고정비용은 10이다.\n나. 한계비용곡선은 원점을 지나는 직선이다.\n다. 평균고정비용은 생산량이 증가함에 따라 증가한다.\n라. 평균가변비용은 생산량이 증가함에 따라 감소한다.	가, 나 ||| 가, 다 ||| 나, 라 ||| 다, 라
actuary_42_econ_17	소득재분배 철학에 관한 설명으로 옳지 않은 것은?	공리주의자들은 한계효용이 체감할 경우 소득재분배 정책을 옹호할 수 있다. ||| 자유주의자(libertarian)들은 결과보다 과정을 중요하게 여기고 기회평등을 주장한다. ||| 롤즈(John Rawls)는 무지의 베일 속에서 최소극대화 기준(maximin criterion)을 주장한다. ||| 노직(Robert Nozick)은 정부의 적극적인 소득재분배 정책을 주장한다.
actuary_42_econ_18	A국은 대표적 소비자 갑과 두 재화, $X, Y$가 있다. 갑의 효용함수는 $U(X, Y) = XY^2$이고, 생산가능곡선은 $X^2 + Y^2 = 12$이다. A국의 자원배분을 최적으로 만들어주는 $X$는?	1 ||| 2 ||| 3 ||| 4
actuary_42_econ_19	위험회피자인 갑은 기대수익률이 증가하면 효용이 증가하나 위험이 증가하면 효용이 감소한다. 가로축에 기대수익률, 세로축에 위험을 표시한 평면에서 갑의 무차별곡선은?	우하향한다. ||| 수직이다. ||| 우상향한다. ||| 수평이다.
actuary_42_econ_20	표는 음원시장을 양분하고 있는 A기업과 B기업의 전략(저가요금제와 고가요금제)에 따른 보수행렬이다. A기업과 B기업이 전략을 동시에 선택하는 일회성 비협조 게임에 관한 설명으로 옳지 않은 것은? (단, 괄호 속의 왼쪽은 A기업의 보수, 오른쪽은 B기업의 보수이다.)\n\n|  | B기업 저가요금제 | B기업 고가요금제 |\n|---|---|---|\n| A기업 저가요금제 | $(5, 5)$ | $(9, 4)$ |\n| A기업 고가요금제 | $(3, 8)$ | $(7, 6)$ |	A기업은 B기업의 전략과 무관하게 저가요금제를 선택하는 것이 합리적이다. ||| A기업과 B기업의 전략적 선택에 따른 결과는 파레토 효율적이지 않다. ||| 내쉬균형(Nash equilibrium)이 두 개 존재한다. ||| B기업에게는 우월전략이 존재한다.
actuary_42_econ_21	표는 소비의 배제성과 경합성의 존재 유무에 따라 재화를 분류하고 있다. 재화와 분류가 옳게 짝지어진 것은?\n\n|  | 경합성 있음 | 경합성 없음 |\n|---|---|---|\n| 배제성 있음 | A | B |\n| 배제성 없음 | C | D |	공해(公海) 상의 어류 - C ||| 국방서비스 - B ||| 민자 유료도로 - C ||| 유료 이동통신 - D
actuary_42_econ_22	표는 연도별 X재와 Y재의 생산수량과 가격을 표시한다. 2018년도의 GDP 디플레이터와 소비자물가지수(CPI)를 이용하여 계산한 각각의 물가상승률은? (단, 기준연도는 2017년이며 소비자물가지수의 품목 구성은 GDP 구성과 동일하다.)\n\n| 구분 |  X재 수량 | X재 가격 | Y재 수량 | Y재 가격 |\n|---|---|---|---|---|\n| 2017년 | 20 | 1,000 | 40 | 500 |\n| 2018년 | 50 | 1,005 | 30 | 600 |	5%, 10.00% ||| 5%, 10.25% ||| 7%, 10.00% ||| 7%, 10.25%
actuary_42_econ_23	소비자물가지수 산정의 문제점이 아닌 것은?	신규상품을 즉시 반영하기 어렵다. ||| 상품의 질적 변화를 완전히 통제하기 어렵다. ||| 소득수준 변화를 반영하기 어렵다. ||| 상대가격의 변화로 인한 상품 구성 대체를 반영하기 어렵다.
actuary_42_econ_24	생산활동가능인구(만 15세 이상 인구)가 3,000만 명인 경제에서 경제활동참가율이 60%, 실업률이 3%인 경우, 취업자 수는?	1,716만 명 ||| 1,726만 명 ||| 1,736만 명 ||| 1,746만 명
actuary_42_econ_25	폐쇄경제에서 국민소득 균형식에 따른 민간저축과 이자율은?\n\n$C = 100 + 0.6Y$\n$I = 300 - 20r$\n$Y = 1{,}000$\n$G = 100$\n$T = 110$\n\n(단, $Y$: 소득, $G$: 정부지출, $T$: 조세, $C$: 민간소비, $I$: 투자, $r$: 이자율(%))	180, 5% ||| 180, 6% ||| 190, 5% ||| 190, 6%
actuary_42_econ_26	생산요소시장이 완전경쟁시장일 때, 생산함수 $F(L, K) = AK^\alpha L^{1-\alpha}$에 관한 설명으로 옳은 것은? (단, $0 < \alpha < 1$, $K$: 자본, $L$: 노동, $A$: 생산기술)	1인당 자본재가 두 배가 되면 1인당 생산량도 두 배가 된다. ||| 자본 및 노동에 대한 대가는 각각의 평균 생산성에 의해 결정된다. ||| 자본소득분배율은 $\alpha$, 노동소득분배율은 $1 - \alpha$이다. ||| 한계생산이 체감하기 때문에 자본과 노동을 모두 두 배로 증가시키면 생산 증가는 두 배에 미치지 못한다.
actuary_42_econ_27	통화 공급에 관한 설명으로 옳은 것은?	중앙은행의 은행에 대한 대출금리가 상승하면 통화공급이 증가한다. ||| 지급준비율이 인상되면 통화공급이 증가한다. ||| 민간부분의 요구불예금 대비 현금보유 비중이 상승하면 통화공급이 증가한다. ||| 중앙은행이 공개시장운영을 통해 채권시장에서 채권을 매입하면 통화공급이 증가한다.
actuary_42_econ_28	IS-LM 모형에서 IS 곡선에 관한 설명으로 옳지 않은 것은?	저축과 투자를 일치시켜 주는 이자율과 소득의 조합이다. ||| 정부지출이 외생적으로 증가하면 IS 곡선이 오른쪽으로 이동한다. ||| 투자가 금리에 민감할수록 IS 곡선 기울기의 절대값은 작아진다. ||| 투자가 케인즈의 주장대로 동물적 본능(animal spirit)에 의해서만 이루어진다면 IS 곡선은 수평이 된다.
actuary_42_econ_29	유동성 함정에 관한 설명으로 옳은 것은?	유동성 함정에서는 LM 곡선이 수직으로 나타난다. ||| 유동성 함정은 채권가격이 매우 낮은 상황에서 발생한다. ||| 유동성 함정에서 소득을 증가시키기 위해서는 통화정책보다 재정정책이 더 효과적이다. ||| 유동성 함정에서 빠져나오기 위해서는 LM 곡선을 오른쪽으로 이동시켜야 한다.
actuary_42_econ_30	총수요곡선(AD)-총공급곡선(AS) 모형에 관한 설명으로 옳은 것을 모두 고르면?\n\n가. 총공급곡선은 단기에서는 수직이며 장기에서는 수평이다.\n나. 물가가 상승하면 실질통화량이 감소하여 총수요량이 감소한다.\n다. 총수요곡선은 개별 재화시장의 수요곡선을 수평으로 합한 것이다.	가 ||| 나 ||| 가, 다 ||| 나, 다
actuary_42_econ_31	기대인플레이션율은 2%, 자연실업률은 5%, 성장률은 잠재성장률보다 1%p 낮다. 오쿤의 법칙과 필립스 곡선이 다음과 같을 때, 실업률과 인플레이션율은?\n\n· 오쿤의 법칙: $u - u^n = -0.3(Y - \overline{Y})$\n· 필립스 곡선: $\pi = E(\pi) - 0.5(u - u^n)$\n\n(단, $u$: 실업률, $u^n$: 자연실업률, $Y$: 성장률, $\overline{Y}$: 잠재성장률, $\pi$: 인플레이션율, $E(\pi)$: 기대인플레이션율)	4.7%, 2.15% ||| 4.7%, 1.85% ||| 5.3%, 2.15% ||| 5.3%, 1.85%
actuary_42_econ_32	소비이론에 관한 설명으로 옳지 않은 것은?	절대소득가설에 의하면 소비의 이자율탄력성은 0이다. ||| 항상소득가설에 의하면 현재소득의 증가 중에서 임시 소득이 차지하는 비중이 높을수록 현재 소비가 크게 증가한다. ||| 상대소득가설에 의하면 소비지출에 톱니효과가 존재한다. ||| 생애주기가설에 의하면 사람들은 일생에 걸친 소득 변화를 고려하여 적절한 소비수준을 결정한다.
actuary_42_econ_33	시간 간 소비선택 모형에서 현재소비와 미래소비를 선택하는 가계에 관한 설명으로 옳지 않은 것은? (단, 가로축에 현재소비, 세로축에 미래소비를 표시하고, 현재소비와 미래소비는 정상재이며 무차별곡선은 원점에 대해 볼록한 우하향하는 곡선이다.)	저축자는 금리가 상승하는 경우 항상 현재소비를 증가시킨다. ||| 차입자는 금리가 상승하는 경우 항상 현재소비를 감소시킨다. ||| 현재소비와 미래소비는 예산 제약선과 무차별곡선이 접하는 점에서 결정된다. ||| 가계가 미래소비에 비해 현재소비를 선호할수록 무차별곡선의 기울기는 급해진다.
actuary_42_econ_34	화폐수요 $M_d = kPY$이다. $k$는 5, 인플레이션율은 3%, 경제성장률은 4%일 때 화폐수요 증가율은? (단, $k$: 상수, $P$: 물가수준, $Y$: 생산량)	7% ||| 12% ||| 35% ||| 60%
actuary_42_econ_35	1년 만기 채권 금리가 5%, 2년 만기 채권 금리가 4%이고, 1년 만기 대비 2년 만기 채권의 유동성 프리미엄이 1%이다. 이자율 기간구조 이론 중 유동성프리미엄 이론에 따르면, 1년 뒤 1년 만기 채권에 대한 기대금리는?	1% ||| 2% ||| 3% ||| 4%
actuary_42_econ_36	효율성임금(efficiency-wage) 이론에 관한 설명으로 옳지 않은 것은?	균형수준보다 높은 임금은 이직률을 낮출 수 있다. ||| 근로자의 평균 자질은 기업이 지불하는 임금수준에 의존한다. ||| 임금이 높을수록 종업원의 노력을 증대시킬 수 있다. ||| 균형수준보다 높은 임금을 지급하면 역선택의 가능성이 증가한다.
actuary_42_econ_37	대국 개방경제 모형의 대부자금시장 및 외환시장에서 국내 금리와 환율(국내통화/외국통화) 결정에 관한 설명으로 옳은 것은?	국내 정치 상황이 불안정해지면 금리와 환율이 상승한다. ||| 국내 투자 수요가 증가하면 금리와 환율이 상승한다. ||| 수입 쿼터 부과로 수입이 감소하면 금리는 상승하고 환율은 하락한다. ||| 해외 투자의 예상 수익률이 상승하면 금리와 환율이 하락한다.
actuary_42_econ_38	현재 한국에서 햄버거 가격이 5,000원이고 미국에서 햄버거 가격이 4달러이며 외환시장에서 환율이 1,200원/달러이다. 장기적으로 구매력 평가설이 성립한다면 다음 중 옳은 것은? (단, 각국의 햄버거 국내가격은 변화가 없다고 가정한다.)	향후 환율 하락이 예상된다. ||| 달러에 대한 수요가 증가할 것이다. ||| 거래비용이 없다면 현재 재정(arbitrage) 거래의 기회는 존재하지 않는다. ||| 실질구매력으로 평가한 원화 가치는 현재 저평가되어 있다.
actuary_42_econ_39	피셔방정식이 성립할 때, 이자율과 인플레이션율에 관한 설명으로 옳은 것은?	실질이자율은 인플레이션율에서 명목이자율을 뺀 것이다. ||| 예상보다 낮은 인플레이션율은 채무자에게 유리하고 채권자에게는 불리하다. ||| 예상 인플레이션율이 상승하면 예상 실질이자율이 상승한다. ||| 예상 인플레이션율이 상승하면 명목이자율이 상승한다.
actuary_42_econ_40	실물경기변동(real business cycle) 이론과 신케인지언(new Keynesian) 경제학에 관한 설명으로 옳지 않은 것은?	실물경기변동 이론은 가격이 신축적이라고 가정한다. ||| 실물경기변동 이론은 경기변동에서 공급충격이 중요하다고 주장한다. ||| 신케인지언 경제학에서는 화폐의 중립성이 성립하지 않는다. ||| 신케인지언 경제학은 경제주체의 최적화 행태를 가정하지 않는다.
