actuary_41_econ_1	상품수요가 $Q_d = 5{,}000 - 2P$이다. $P = 2{,}000$에서 수요의 가격탄력성과 소비자의 지출액은?	0.25; 2,000 ||| 0.25; 2,000,000 ||| 1; 1,000,000 ||| 4; 2,000,000
actuary_41_econ_17	국가 A는 시간당 2톤의 철강을 생산하거나 4대의 자동차를 생산할 수 있고, 국가 B는 시간당 1톤의 철강을 생산하거나 1/3대의 자동차를 생산할 수 있다. 이 두 국가는 서로 손해를 보지 않는 범위 내에서 하나의 제품에 특화하여 무역을 하고 있다. 국가 B가 무역으로부터 최대의 이득을 얻는 자동차 1대에 대한 철강의 교환비율은?	1/3톤 ||| 1/2톤 ||| 2톤 ||| 3톤
actuary_41_econ_18	두 운전자 A, B가 서로 마주보고 운전하다가 한쪽이 충돌을 회피하면 지는 치킨게임을 고려하자. 이 게임의 보수 행렬이 아래와 같을 때 내쉬균형은 몇 개인가? (단, 행렬에서 보수는 (A의 보수, B의 보수)로 표시)\n\n|  | B 회피 | B 직진 |\n|---|---|---|\n| A 회피 | $(10, 10)$ | $(5, 20)$ |\n| A 직진 | $(20, 5)$ | $(0, 0)$ |	0 ||| 1 ||| 2 ||| 4
actuary_41_econ_19	채식주의자인 A는 감자섭취로는 효용이 증가하나 고기섭취로는 효용이 감소한다. 가로축에 고기, 세로축에 감자를 표시한 평면에서 A의 무차별곡선은?	우하향한다. ||| 수직이다. ||| 우상향한다. ||| 수평이다.
actuary_41_econ_20	A재화가 양(+)의 외부효과(positive externality)를 창출할 경우, 다음 중 옳은 것은?	재화의 사회적 가치(social value)는 사적 가치(private value)보다 높고, 시장균형수량은 사회적 최적수량보다 많다. ||| 재화의 사회적 가치는 사적 가치보다 낮고, 시장균형수량은 사회적 최적수량보다 많다. ||| 재화의 사회적 가치는 사적 가치보다 높고, 시장균형수량은 사회적 최적수량보다 적다. ||| 재화의 사회적 가치는 사적 가치보다 낮고, 시장균형수량은 사회적 최적수량보다 적다.
actuary_41_econ_21	X, Y, Z의 재화만 생산하는 경제에서 다음의 표를 이용하여 구한 2016년의 연간 실질 경제성장률은? (단, 2015년이 기준연도이고, 실질 경제성장률(%)은 소수점 첫째 자리에서 반올림)\n\n| 구분 | 2015 가격 | 2015 수량 | 2016 가격 | 2016 수량 |\n|---|---|---|---|---|\n| X | 100 | 20 | 110 | 22 |\n| Y | 120 | 10 | 130 | 12 |\n| Z | 80 | 20 | 90 | 22 |	10% ||| 13% ||| 20% ||| 24%
actuary_41_econ_22	IS-LM 모형에서 IS곡선의 기울기가 수직에 가깝고 LM곡선의 기울기가 수평에 가까울 때, 다음 설명 중 옳지 않은 것은?	투자가 이자율에 매우 비탄력적이다. ||| 확장적 통화정책이 확장적 재정정책보다 국민소득 증가에 더 효과적이다. ||| 화폐수요가 이자율에 매우 탄력적이다. ||| 경제가 유동성함정에 빠질 가능성이 매우 높다.
actuary_41_econ_23	다음의 IS-LM모형에서 통화량을 0.4만큼 더 증가시킬 경우 새로운 균형이자율은?\n\n$Y = C + I + G$\n$C = 3 + 0.5Y, I = 2 - r, G = 5$\nLM곡선: $M = -r + 0.5Y, M = 9$\n\n단, $Y$: 국민소득, $C$: 소비, $I$: 투자, $G$: 정부지출, $M$: 통화량, $r$: 이자율	0.2 ||| 0.3 ||| 0.4 ||| 0.5
actuary_41_econ_24	폐쇄경제에서 총수요-총공급 모형과 관련된 설명으로 옳지 않은 것은?	총수요곡선은 재화시장과 화폐시장으로부터 도출된다. ||| 총공급곡선은 노동시장과 생산함수로부터 도출된다. ||| 정부지출 또는 통화량의 변동은 총수요곡선을 이동시킨다. ||| 장기 총공급곡선은 우상향하고 단기 총공급곡선은 수직이다.
actuary_41_econ_25	소비이론에 관한 설명으로 옳지 않은 것은?	케인즈의 절대소득가설에 의하면 한계소비성향은 평균소비성향보다 크다. ||| 쿠즈네츠(S. Kuznets)에 의하면 장기시계열 소비함수에서 한계소비성향은 평균소비성향과 같다. ||| 상대소득가설에서는 톱니효과(ratchet effect)와 전시효과(demonstration effect)를 주장한다. ||| 항상소득(permanent income)가설에 의하면 소비는 현재의 자산과 소득, 그리고 미래기대소득의 현재가치에 의해서 결정된다.
actuary_41_econ_26	투자이론에 관한 설명으로 옳지 않은 것은?	현재가치이론에 의하면 투자수익의 현재가치가 투자비용의 현재가치보다 클 때 투자가 실행된다. ||| 토빈의 $q$이론에 의하면 $q > 1$이면 투자가 실행되고 $q < 1$이면 투자가 실행되지 않는다. ||| 재고소진 기피(stock-out avoidance) 모형에 의하면 수요증가 가능성이 커질수록 재고보유동기는 감소한다. ||| 가속도원리에서 산출량의 증가는 투자에 양(+)의 영향을 미친다.
actuary_41_econ_27	다음은 3인($i=1,2,3$)만이 존재하는 경제의 화폐수요를 나타낸다. 경제전체의 마샬 $k$는?\n\n개인 $i$의 화폐수요: $M_i^d = k_i Y_i$\n(단, $M_i^d, Y_i, k_i$는 각각 개인 $i$의 화폐수요, 소득, 마샬 $k$)\n경제전체의 화폐수요: $M^d = kY$\n(단, $M^d, Y, k$는 각각 경제전체의 화폐수요, 소득, 마샬 $k$)\n$Y_1 = 20, Y_2 = 40, Y_3 = 60$\n$k_1 = 0.4, k_2 = 0.4, k_3 = 0.2$	0.30 ||| 0.33 ||| 0.36 ||| 0.39
actuary_41_econ_28	다음의 통계로부터 구한 생산가능인구는?\n\n경제활동참가율: 50%, 실업률: 20%, 취업자: 2,600만 명	3,000만 명 ||| 3,250만 명 ||| 6,000만 명 ||| 6,500만 명
actuary_41_econ_29	프리드먼(M. Friedman)이 주장한 장기적 경제현상에 관한 설명으로 옳지 않은 것은?	확장적 통화정책은 장기적으로 실질국민소득을 증가시킨다. ||| 필립스곡선은 장기에 수직이다. ||| 실업률은 자연실업률과 같게 된다. ||| 실제 인플레이션은 기대인플레이션과 같게 된다.
actuary_41_econ_30	현재 1년만기 국채이자율이 2%이고, 1년 후 1년만기 국채이자율이 4%로 예상되며, 1년만기 대비 2년만기 국채의 유동성 프리미엄은 0.3%라고 한다. 이자율의 기간구조 이론 중 기대이론과 유동성프리미엄이론에 따른 현재 2년만기 국채이자율을 각각 순서대로 올바로 나열한 것은? (단, 소수점 둘째 자리에서 반올림)	3.0%, 3.3% ||| 3.3%, 3.0% ||| 3.0%, 4.3% ||| 3.3%, 4.0%
actuary_41_econ_31	다음 설명 중 옳지 않는 것은?	화폐의 중립성(neutrality of money)이 성립하면 명목통화량의 증가는 실질국민소득에 영향을 미치지 못한다. ||| 실질잔액효과(real balance effect)에 의하면 기대인플레이션이 발생할 경우 명목이자율은 기대인플레이션보다 더 크게 상승한다. ||| 기대인플레이션의 상승은 기대가 추가된(expectation-augmented) 필립스곡선을 위쪽으로 이동시킨다. ||| 리카르도 동등(Ricardian equivalence)정리가 성립하면 현재의 정액세 감소는 총수요를 증가시키지 못한다.
actuary_41_econ_32	다음 중 경기변동 국면에서 나타나는 정형화 된 사실(stylized facts)과 부합하지 않는 것은?	소비와 투자는 경기순응적(procyclical)이다. ||| 투자의 변동성은 소비의 변동성보다 크다. ||| 내구재 소비지출의 변동성은 비내구재 및 서비스 소비지출 변동성보다 크다. ||| 재고투자의 변동성은 설비투자의 변동성보다 작다.
actuary_41_econ_33	2017년에 생산된 에어컨 중 일부는 판매가 되지 않아 재고로 남아 있었다. 이 에어컨 재고 모두가 2018년 가계들에게 판매되었다면 다음 중 옳지 않은 것은?	이 재고판매는 2017년 GDP의 투자항목에 더해진다. ||| 이 재고판매는 2018년 GDP의 민간소비항목에 더해진다. ||| 이 재고판매는 2018년 GDP의 투자항목에 음수로 더해진다. ||| 이 재고판매는 2018년에 판매되었으므로, 2018년 GDP에 더해진다.
actuary_41_econ_34	A국가의 생산함수는 $Y = K^{0.7} L^{0.3}$이다($K$는 자본, $L$은 노동, $Y$는 생산량). 이 국가의 노동증가율은 2%, 저축률은 60%, 감가상각률은 10%일 때, 균제상태(steady state)에서 자본 1단위당 생산량($Y/K$)은?	0.2 ||| 0.4 ||| 0.6 ||| 0.8
actuary_41_econ_35	폐쇄경제인 A국가의 GDP는 12이고, 민간소비는 7이며, 조세는 3, 정부의 재정적자는 1이다. 이 경우 민간(private)저축과 국민(national)저축을 각각 순서대로 올바로 나열한 것은?	5, 3 ||| 5, 1 ||| 2, 3 ||| 2, 1
actuary_41_econ_36	자연실업률에 관한 설명 중 옳은 것은?	자연실업률은 마찰적실업을 포함하지 않는다. ||| 자연실업률은 구조적실업을 포함하지 않는다. ||| 실업수당이 증가하면 자연실업률은 낮아진다. ||| 경기호황기에 실업률은 자연실업률보다 낮다.
actuary_41_econ_37	자본이동이 자유로운 소규모 개방경제인 A국가는 변동환율 제도를 시행하고 있다. 먼델-플레밍(Mundell-Fleming) 모형에 의하면, 균형생산량을 감소시키기 위한 효과적인 정책은?	정부지출 증가 ||| 세금 증가 ||| 정부지출 감소 ||| 통화공급 감소
actuary_41_econ_38	소비자물가지수(CPI)와 GDP 디플레이터에 관한 설명 중 옳은 것은?\n\n가. CPI 인플레이션은 소비자의 대체가능성을 배제함으로써 생계비 상승을 과대평가 하는 경향이 있다.\n나. GDP 디플레이터는 고정된 가중치를 사용한다.\n다. GDP 디플레이터는 수입물가를 포함한다.	가 ||| 나 ||| 다 ||| 모두 옳지 않다.
actuary_41_econ_39	소비는 처분가능소득만의 함수이고, 투자는 이자율만의 함수인 IS-LM모형에서 화폐수요가 외생적으로 증가하면? (단, IS곡선은 우하향, LM곡선은 우상향)	IS곡선이 오른쪽으로 이동한다 ||| IS곡선이 왼쪽으로 이동한다 ||| LM곡선이 왼쪽으로 이동한다 ||| LM곡선이 오른쪽으로 이동한다
actuary_41_econ_40	솔로우(Solow) 모형에서 생산함수는 $Y = K^{0.5}(E \times L)^{0.5}$이다($K$는 자본, $L$은 노동, $E$는 노동의 효율성, $Y$는 생산량). 이 경제에서 저축률은 20%, 노동증가율은 5%, 노동효율성 증가율은 5%, 감가상각률은 10%일 때 현재 균제상태(steady state)에 있는 이 경제에 대한 설명으로 옳은 것은?	이 경제는 황금률(golden rule) 자본수준에 있다. ||| 황금률 자본수준으로 가기 위해서는 저축률을 높여야 한다. ||| 황금률 자본수준으로 가기 위해서는 현재 효율노동단위당 소비를 증가시켜야 한다. ||| 황금률 자본수준에 도달하면 효율노동단위당 소비가 현재 균제상태보다 낮아진다.
