tax_2026_재정학_27	27. 어떤 사회에서 선택 대안에 대한 각 구성원의 선호는 완비적(complete)이고 이행적(transitive)이며, 강선호(strict preference) 특성을 가지고 있다. 이 사회에서 투표로 사회적 선택을 하는 경우, 투표 제도에 관한 설명으로 옳은 것을 모두 고른 것은?\nㄱ. 꽁도세(Condorcet) 승자는 항상 존재한다.\nㄴ. 과반수투표제 승자가 존재하면, 꽁도세 승자와 반드시 일치한다.\nㄷ. 최다득표제 승자가 존재하면, 꽁도세 승자와 반드시 일치한다.\nㄹ. 꽁도세 승자가 존재한다면, 항상 유일하다.
tax_2026_재정학_28	28. 10명의 투표자 중 A 유형은 3명, B 유형은 3명, C 유형은 4명이며, 이들은 네 개의 대안 $a$, $b$, $c$, $d$를 놓고 선택하고자 한다. 각 유형의 대안에 대한 선호는 다음과 같다고 하자.\n○ A 유형[3명]: $a > b > c > d$\n○ B 유형[3명]: $a > b > d > c$\n○ C 유형[4명]: $b > c > d > a$\n꽁도세(Condorcet) 방식과 보다(Borda) 투표제로 승자를 각각 결정할 때, 그 결과로 옳은 것은? (단, 선호 조작은 없다고 가정한다.)
tax_2026_재정학_29	29. 외부효과가 발생한 경우, 코즈(Coase) 정리의 적용과 관련한 설명으로 옳지 않은 것은?
tax_2026_재정학_30	30. 어떤 공장이 생산 활동을 하면서 오염 물질을 배출한다. 이로 인한 피해자의 한계피해는 $MD = \frac{1}{2}Q$이며 피해자는 별도의 편익을 얻지 않는다. 공장의 한계편익은 $MB = 120 - Q$이며, 한계비용은 $MC = 0$이다. 당사자 간 협상은 자유롭게 이루어질 수 있으며 거래비용은 0이다. 오염배출권리가 공장에 있을 경우, 사회적으로 효율적인 생산량에 도달하도록 협상이 타결되기 위해 피해자가 공장에 제공해야 하는 최소 금액은 얼마인가? (단, $Q$는 생산량이다.)
tax_2026_재정학_31	31. 사회 A와 B는 각각 2개의 소득계층으로 구성되어 있다. A에서는 구성원 50%의 소득이 각각 100, 나머지가 각각 400이며, B에서는 구성원 50%의 소득이 각각 100, 나머지가 각각 300일 때, 소득불평등도에 관한 설명으로 옳지 않은 것은? (단, 동일한 소득계층 내에서 각 개인의 소득은 동일하며, 두 사회의 소득 불평등도는 로렌츠곡선으로 나타낼 수 있다.)
tax_2026_재정학_32	32. 소득분배이론에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_33	33. 소득분배 상태를 나타내는 불평등도지수에 관한 설명으로 옳은 것은?
tax_2026_재정학_34	34. 근로장려세제에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_35	35. 부의 소득세(negative income tax)에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_36	36. 우리나라의 소득재분배정책에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_37	37. 공적연금제도의 경제적 효과에 관한 설명으로 옳은 것은?
tax_2026_재정학_38	38. 예산제도에 관한 설명으로 옳은 것은?
tax_2026_재정학_39	39. 정부지출에 관한 설명으로 옳지 않은 것은?
tax_2026_재정학_40	40. 비용-편익 분석에 관한 설명으로 옳은 것은?
