tax_2026_민법_41	41. 민법의 법원(法源)에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_68	68. 甲으로부터 그 소유의 X토지에 대한 매매계약 체결의 대리권을 수여받은 乙이 丙과 X토지의 매매계약을 체결하는 경우에 관한 설명으로 옳지 않은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)\nㄱ. 丙이 乙에게 매매대금을 지급하였지만 乙이 그 대금을 甲에게 전달하지 않았다면 丙의 변제는 효력이 없다.\nㄴ. 乙은 丙의 대금지급의무불이행을 이유로 매매계약을 해제할 수 없으나, 甲의 소유권이전등기의무 불이행을 이유로 한 丙의 해제의 의사표시를 수령할 권한은 있다.\nㄷ. 丙이 甲을 상대로 위 계약에 기해 소유권이전등기청구의 소를 제기하면서 乙의 대리권의 존재를 주장하는 경우, 법원은 표현대리의 성립 여부까지 판단하여야 한다.
tax_2026_민법_69	69. 대리권 없는 乙이 甲의 대리인이라 칭하며 甲 소유의 X토지를 丙에게 매도하고 소유권이전등기를 마쳐준 경우에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_70	70. 법정대리인이 아닌 사람은? (다툼이 있으면 판례에 따름)
tax_2026_민법_71	71. 甲은 토지거래허가구역 내에 있는 그 소유의 X토지에 관하여 토지거래허가를 받을 것을 전제로 乙과 매매계약을 체결하였으나 아직 관할관청의 허가를 얻지 못한 상태이다. 이에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_72	72. 법률행위의 무효에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_73	73. 조건에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_74	74. 법률행위의 부관으로서의 기한 중 시기(始期)를 붙일 수 없는 법률행위는?
tax_2026_민법_75	75. 민법상 기간에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_76	76. 소멸시효에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_77	77. 권리의 행사기간에 관한 설명으로 옳은 것을 모두 고른 것은? (다툼이 있으면 판례에 따름)\nㄱ. 상속회복청구권의 행사는 제척기간 내에 반드시 소제기의 방식으로 이루어져야 한다.\nㄴ. 점유물반환청구권의 행사기간은 출소기간에 해당하지 않는다.\nㄷ. 채권양도의 통지가 있으면 그것만으로도 제척기간의 준수에 필요한 권리의 재판외 행사가 있은 것으로 볼 수 있다.\nㄹ. 매매예약 완결권을 행사할 수 있는 시기를 특별히 약정하였다고 하더라도 그 제척기간은 특별한 사정이 없는 한 원칙적으로 예약완결권의 발생일로부터 기산한다.
tax_2026_민법_78	78. 甲은 2025. 5. 5. 乙에게 1억 원을 대여하면서 그 변제기를 정하지는 않았다. 그러나 乙의 甲에 대한 위 채무의 이행을 담보하기 위하여 丙은 甲과 보증계약을 체결하였으며, 丁은 그 소유의 X부동산에 甲 명의의 저당권을 설정하였다. 이에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_79	79. 甲은 乙에게 X물품의 공급을 부탁하였고, 甲의 乙에 대한 그 물품대금의 이행을 담보하기 위하여 丙은 乙과 보증계약을 체결하였으며, 丁은 그 소유의 Y부동산에 乙 명의의 저당권을 설정하였다. 乙의 甲에 대한 물품대금채권의 소멸시효가 완성된 경우에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)
tax_2026_민법_80	80. 형성권에 해당하는 권리가 아닌 것은? (다툼이 있으면 판례에 따름)
