actuary_49_econ_11	11. 아래 표는 공부 시간에 따른 갑의 각 과목 시험 성적이다. 총점 극대화를 위해 12시간을 3과목 공부에 적절히 배분했는데, 불가피하게 3시간을 다른 일에 사용해야 한다. 높은 점수를 희망하는 갑은 어느 과목의 공부를 몇 시간씩 줄여야 하는가? [표: 경제학/경영학/법학 — 5시간 96/86/84, 4시간 95/85/83, 3시간 85/80/80, 2시간 73/70/75, 1시간 60/58/65, 0시간 45/46/55]	① 경영학 1시간, 법학 2시간 ||| ② 경제학 1시간, 경영학 2시간 ||| ③ 경제학 1시간, 법학 2시간 ||| ④ 경제학 1시간, 경영학 1시간, 법학 1시간
actuary_49_econ_22	22. 아래와 같은 폐쇄경제모형에서 중앙은행이 금리를 4%에서 6%로 인상했을 때, 국민소득의 변화로서 옳은 것은? (단, $Y$는 총생산, $C$는 민간소비, $I$는 민간투자, $T$는 세금, $G$는 정부지출, $R$은 금리이다.)\n$Y = C + I + G$\n$C = 0.4(Y - T)$\n$I = 20 + 0.2Y - 1{,}000R$\n$T = 200$\n$G = 500$	① 5% 감소 ||| ② 5% 증가 ||| ③ 10% 감소 ||| ④ 10% 증가
actuary_49_econ_23	23. 3인의 소비자 갑, 을, 병은 사용재(private goods) $X$와 순수공공재(pure public goods) $Y$를 소비하고 있다. 갑, 을, 병의 효용함수는 각각 $U_갑 = X_갑 Y$, $U_을 = X_을 Y$, $U_병 = 2X_병 Y$이고, 소득은 각각 30, 50, 20이다. $X$와 $Y$의 가격이 각각 1, 10일 때, 효율적인 $Y$의 소비수준은?	① 4 ||| ② 5 ||| ③ 6 ||| ④ 7
actuary_49_econ_24	24. 채권에 대한 설명으로 옳은 것은?	① 채권의 만기가 짧을수록 이자율 변동에 따른 채권가격의 변동성이 커진다. ||| ② 이자율이 하락하면 화폐보다 채권에 대한 사람들의 수요가 증가한다. ||| ③ 주식시장의 변동성이 증가하면, 채권수요가 증가하여 이자율은 상승한다. ||| ④ 이자율 하락이 예상되면 화폐보다 채권에 대한 사람들의 수요가 증가한다.
actuary_49_econ_25	25. 영구채(perpetuity)의 현재 가격이 30,000원이고, 이 채권은 해마다 3,000원씩 고정적인 이자가 지급된다. 이자율이 5%p 상승하면, 채권 가격은?	① 20,000원 ||| ② 30,000원 ||| ③ 40,000원 ||| ④ 50,000원
actuary_49_econ_26	26. 아래와 같이 통화당국의 손실함수와 필립스 곡선이 주어져 있다. 인플레이션율에 대한 민간의 기대가 형성된 후에 통화당국이 손실을 최소화하기 위한 목표 인플레이션율과 실업률은? (단, $\pi$, $\pi^e$, $u$, $u_n$은 각각 인플레이션율, 기대 인플레이션율, 실업률, 자연실업률이며, 단위는 %이고, 각 변수는 0보다 크다.)\n• 통화당국의 손실함수: $L = u + \frac{1}{3}\pi^2$\n• 필립스곡선: $\pi = \pi^e - \frac{1}{3}(u - u_n)$\n• $\pi^e = 5\%$\n• $u_n = 2\%$	① $\pi = 4.0\%, u = 3.5\%$ ||| ② $\pi = 4.0\%, u = 4.0\%$ ||| ③ $\pi = 4.5\%, u = 3.5\%$ ||| ④ $\pi = 4.5\%, u = 4.0\%$
actuary_49_econ_27	27. 아래와 같은 갑국의 노동시장에서 고용률(%)과 실업률(%)은?\n전체 인구 : 1억 명\n노동(생산)가능인구 : 8,000만 명\n비경제활동인구 : 3,000만 명\n취업자 : 4,000만 명	① 고용률 80, 실업률 10 ||| ② 고용률 60, 실업률 15 ||| ③ 고용률 50, 실업률 20 ||| ④ 고용률 50, 실업률 25
actuary_49_econ_28	28. 2인 2재화 교환경제에서 갑과 을은 두 재화 $X, Y$만을 소비하고 있다. 갑과 을의 선호는 볼록성(convexity)을 만족하고, 무차별 곡선에는 굴절이 없다. 초기부존(initial endowment)에서 갑의 $\frac{MU_X}{MU_Y} = \frac{A}{B}$, 을의 $\frac{MU_X}{MU_Y} = \frac{B}{A}$이며, $0 < A < B$이다. 완전경쟁균형가격 $\frac{P_X}{P_Y} = C$일 때, 옳은 것은? (단, $MU_X$는 재화 $X$의 한계효용, $MU_Y$는 재화 $Y$의 한계효용이다.)	① $C < A$ ||| ② $C > B$ ||| ③ $C = B$ ||| ④ $A < C < B$
actuary_49_econ_29	29. 인플레이션(inflation)이 경제에 미치는 영향에 대한 설명으로 옳지 않은 것은? (단, Fisher 효과는 성립한다.)	① 물가상승률이 예상보다 높은 경우 고정된 연금으로 생활하는 사람들은 실질소득의 감소로 고통을 받는다. ||| ② 명목소득에 과세하고 초과누진세율이 적용되는 경우 인플레이션율의 상승은 납세자의 실질 조세부담을 상승시킨다. ||| ③ 재정운용의 결과 재원이 부족할 때 공채발행수입으로 부족재원을 충당하는 정부의 경우, 물가상승에 따라 실질 공채부담은 가벼워진다. ||| ④ 예상물가상승률이 5%일 때 명목이자율 10%를 받는 예금과 예상물가상승률이 10%일 때 명목이자율 15%를 지급받는 예금의 경우, 이자소득세율이 20%라면 두 예금 이자소득자의 실질 가처분소득은 동일하다.
actuary_49_econ_30	30. 본원통화는 10이고 모든 예금은행의 예금총액이 36, 시재금 총액이 1, 지급준비예치금의 총액이 5이다. 통화승수의 크기는?	① 2.5 ||| ② 3.4 ||| ③ 3.8 ||| ④ 4.0
actuary_49_econ_31	31. 갑국의 경제가 아래와 같은 모형으로 주어져 있다. 장기균형에서 균형이자율과 기대물가수준은? (단, $C, I, G, T, (M/P), M, Y, Y_n, P^e, r$은 각각 소비, 투자, 정부지출, 조세, 실질화폐수요, 화폐공급, 총공급함수, 자연산출량, 기대물가수준, 이자율이다.)\n$C = 300 + 0.5(Y - T) - 300r$\n$I = 100 - 100r$\n$G = 100$\n$T = 100$\n$(M/P) = 0.5Y - 200r$\n$M = 6{,}300$\n$Y = Y_n + 0.5(P - P^e)$\n$Y_n = 700$	① 균형이자율 0.25, 기대물가수준 21 ||| ② 균형이자율 0.25, 기대물가수준 22 ||| ③ 균형이자율 0.27, 기대물가수준 21 ||| ④ 균형이자율 0.27, 기대물가수준 22
actuary_49_econ_32	32. 중앙은행의 명목이자율 결정은 아래와 같은 테일러 준칙(Taylor rule)에 따른다. 이에 대한 설명으로 옳은 것만을 <보기>에서 모두 고르면? (단, $i_t$는 t기의 명목이자율, $\pi_t$는 t기의 인플레이션율, $\rho$는 자연율 수준의 실질이자율, $\pi^*$는 목표 인플레이션율, $u_n$은 자연실업률, $u_t$는 t기의 실업률이며, $\alpha$와 $\beta$는 1보다 작은 양의 상수이다.)\n$i_t = \pi_t + \rho + \alpha(\pi_t - \pi^*) + \beta(u_n - u_t)$\n<보기>\nㄱ. t기의 인플레이션율이 1%p 증가하면, 중앙은행은 t기의 명목이자율을 $(1+\alpha)$%p 올려야 한다.\nㄴ. t기의 실업률이 1%p 증가하면, 중앙은행은 t기의 명목이자율을 1%p 낮춰야 한다.\nㄷ. t기의 인플레이션율이 목표인플레이션율과 같고 t기의 실업률이 자연실업률과 같으면, t기의 실질 이자율은 $\rho$와 같다.	① ㄱ ||| ② ㄴ ||| ③ ㄱ, ㄷ ||| ④ ㄴ, ㄷ
actuary_49_econ_33	33. 갑의 2011년 연봉은 6천만 원이었고, 2025년에는 8천만 원의 연봉을 받았다. 소비자물가지수는 2011년에는 177이었고, 2025년에는 221.25였다. A의 2025년 연봉을 2011년 가치로 계산했을 때, 이에 대한 설명으로 옳은 것은?	① 연봉은 7천만 원이며, 2011년에서 2025까지 A의 구매력은 증가하였다. ||| ② 연봉은 4천 5백만 원이며, 2011년에서 2025까지 A의 구매력은 감소했다. ||| ③ 연봉은 6천 4백만 원이며, 2011년에서 2025까지 A의 구매력은 증가했다. ||| ④ 연봉은 7천 4백만 원이며, 2011년에서 2025까지 A의 구매력은 감소했다.
actuary_49_econ_34	34. 갑국은 우유와 빵만을 생산하며 생산량과 가격은 아래 표와 같다. 2025년의 통화량이 2,000원이다. 전통적 화폐수량설을 따르며, 화폐의 유통속도는 동일한 경우 2026년의 통화량은? [표: 우유 가격(원/병)/생산량(병), 빵 가격(원/개)/생산량(개) — 2025년 우유 250/40, 빵 200/10 ; 2026년 우유 300/40, 빵 400/15]	① 2,000원 ||| ② 2,500원 ||| ③ 3,000원 ||| ④ 3,500원
actuary_49_econ_35	35. 갑의 청년기와 장년기, 그리고 노년기가 각각 20년씩이고, 청년기에 매년 2,000만 원, 장년기에 매년 6,000만 원을 벌고 노년기 때 은퇴하여 매년 1,000만 원의 국민연금을 수령한다. 전 생애에 걸친 소득과 청년기의 부채는? (단, 이자율은 0%이고, 평생에 걸쳐 동일한 소비 수준을 유지한다.)	① 소득 18억 원, 부채 1,500만 원 ||| ② 소득 18억 원, 부채 1,000만 원 ||| ③ 소득 28억 원, 부채 1,500만 원 ||| ④ 소득 28억 원, 부채 1,000만 원
actuary_49_econ_36	36. 아래는 갑국 경제의 국제수지와 관련된 행태방정식이다. 현물환율이 1,050, 해외이자율이 5라고 할 때 국제수지균형을 나타내는 BP(Balance of Payment)곡선을 구하면? (단, $X$는 수출, $M$은 수입, $E$는 현물환율, $Y$는 소득, $K$는 자본수지, $r$은 국내이자율, $r^*$은 해외이자율이다.)\n$X = 200 + 0.5E$\n$M = 300 + 0.2Y - 0.5E$\n$K = 100 + 30r - 10r^*$	① $Y = 5{,}000 + 150r$ ||| ② $Y = 6{,}000 + 200r$ ||| ③ $Y = 7{,}000 + 150r$ ||| ④ $Y = 8{,}000 + 200r$
actuary_49_econ_37	37. 아래와 같은 갑국 경제상황에서 균형실질이자율은? (단, 피셔방정식이 성립하고, $M^d$, $i$, $M^s$, $P$, $\pi^e$는 각각 명목화폐수요, 명목이자율, 명목화폐공급, 물가, 기대물가상승률이다.)\n$\frac{M^d}{P} = 1{,}000 - 1{,}000i$\n$P = 2$\n$M^s = 1{,}700$\n$\pi^e = 0.05$	① 10% ||| ② 12% ||| ③ 15% ||| ④ 16%
actuary_49_econ_38	38. 아래는 지난 10년간 갑국, 을국, 병국의 성장회계(growth accounting)이다. 이에 대한 설명으로 옳은 것은? (단, 총생산함수는 $Y = AN^\alpha K^\beta$, $Y$는 총생산, $A$는 총요소생산성, $N$은 총인구, $K$는 총자본, $\alpha + \beta = 1$이다.) (단위: %)\n[표: 경제성장률/자본배분율/노동배분율/자본증가율/노동증가율 — 갑국 9/40/60/10/5, 을국 7/50/50/4/4, 병국 8/50/50/10/4]	① 경제성장에 대한 자본의 기여도가 가장 큰 국가는 갑국이다. ||| ② 갑국의 경우 노동이나 자본보다 총요소생산성 증가가 경제성장에 가장 큰 기여를 했다. ||| ③ 총요소생산성 증가의 경제성장에 대한 기여도가 가장 큰 국가는 을국이다. ||| ④ 병국의 총요소생산성의 경제성장에 대한 기여도는 2%이다.
actuary_49_econ_39	39. 만기가 1년이고, 이자는 만기에만 8만 원을 지급하는 액면가(face value) 100만 원인 이표채권(coupon bond)이 있다. 이 채권의 현재 가격이 90만 원이라고 할 때, 이에 대한 설명으로 옳지 않은 것은?	① 채권의 만기수익률은 20%이다. ||| ② 채권의 표면이자율은 경상수익률보다 더 높다. ||| ③ 채권의 경상수익률은 약 8.9%이다. ||| ④ 채권의 만기수익률과 채권의 가격은 역(-)의 관계에 있다.
actuary_49_econ_40	40. A국에서 제1은행의 지급준비율은 20%이고, 제2은행의 지급준비율은 10%이다. 갑은 기존에 보유하고 있던 현금 100원을 제1은행에 예금하였고, 제1은행은 지급준비금을 제외한 금액을 을에게 대출하였다. 을이 이 돈으로 병에게서 물품을 구입하였고, 병은 이 대금을 제2은행에 예금하였다. 제2은행은 지급준비금을 제외한 금액을 정에게 대출하였다. 이상의 거래로부터 추가적으로 창출된 통화량은?	① 142원 ||| ② 152원 ||| ③ 162원 ||| ④ 172원
